20655301	[('1072337744146415616', 16), ('1072337744146415616', 16), ('1273033968850399237', 103), ('1244789378871750656', 66708), ('219884207764283393', 66715), ('1238918676113317888', 66748), ('1238918676113317888', 66748), ('1232395113768206336', 66752), ('1260306913801035776', 66769), ('1181757908423299073', 66770), ('1181757908423299073', 66770), ('1109253521499549696', 66771), ('836034116776681472', 66773), ('628735193201836032', 66773), ('1252427530373459973', 66774), ('1252427530373459973', 66774), ('555105182624022528', 66775), ('1236752557071953921', 66778), ('626835967643549696', 66781), ('1233244048548188160', 66782), ('1233244048548188160', 66782), ('529403442658172932', 66784), ('1241521963056525312', 66785), ('522182333055524865', 66786), ('975945140815777794', 66791), ('606232956286287872', 66792), ('1242629311560970240', 66797), ('1251651184147918849', 66798), ('142306348519002112', 66801), ('142306348519002112', 66801), ('1225846922067378176', 66804), ('1225846922067378176', 66804), ('1208906182070390785', 66805), ('1208906182070390785', 66805), ('717137206045847552', 66810)]
1054339816182161408	[('1306144647476113408', 38), ('1306144647476113408', 38)]
1110662156	[('1265880497474985989', 62), ('1265880497474985989', 62), ('1251659373585281030', 66718), ('1248715711867957248', 66767), ('1260320720388751360', 66769), ('1236756092266446850', 66778), ('1135259281278869504', 66796), ('1242625335658717185', 66797), ('1251659373585281030', 66798), ('1217193773584867333', 66799), ('1083456535139889152', 66807), ('1245908232960389120', 66808), (1069670701320290309, 91107)]
18293720	[('1194349946893418497', 90)]
2396910715	[('1217897100698103810', 101)]
342460234	[(1275423672665362434, 102), ('1200788739464798209', 21192)]
588589922	[(1341010160186236931, 104), (1322801259938721792, 144), (1321847823973916672, 150), (1322280424442388480, 211), (1328943073401954304, 212), (1321320629900054528, 220), (1321847766620999681, 221), (1325159992295612417, 222), (1320340055609802754, 224), (1321320686267281409, 227), (1322059594873688064, 234), (1320340313890803713, 240), (1320340488663322624, 243), (1328334448388165636, 244), ('1197516622455595009', 246), (1322801192758554624, 252), (1320340419348209665, 256), (1320340151751610370, 257), (1321847875215777797, 259), (1320340252670763008, 260), ('1195002158246182912', 74031)]
1687071	[('889655879234191362', 115), ('898559438641967105', 7790)]
1311764197	[('736559033490907137', 132), ('715595432353603585', 214), ('758336591769194496', 232), ('1170418382245683203', 8793), ('1207663792303140865', 8795), ('1204455122186768387', 8823), ('791307471872753666', 8866), ('1205612280886517760', 8869), ('1203790575570472960', 8871), ('1183562806664351745', 8872), ('771929756984016896', 8879), ('1205621667923283968', 8882), ('1207304544935436288', 8886), ('1207309751366893568', 8891), ('1205887852493627392', 8893), ('765735457254551552', 8897), ('718684122244198400', 8913), ('397085317838036993', 8914), ('1209173640337596416', 8917), ('1208087018842021888', 8925), ('1205856977353621506', 8929), ('704805582029484032', 8932), ('1205305272123699207', 8934), ('1203838757251796992', 8949), ('1205893135676715020', 8950), ('1205592866745192454', 8951), ('1196729595065704449', 17946)]
22528795	[('581505329206149122', 160), ('828327852244336641', 187), ('849976792349904896', 205), ('851118110128181249', 209), ('891705664279642116', 210), ('934095972635947009', 213), ('934422522732433408', 215), ('868894472217796608', 216), ('901868932843413505', 217), ('836616698073591809', 229), ('857591204539760640', 230), ('947178530080686080', 238), ('894263397453312000', 239), ('929353453809422337', 241), ('930529848300331015', 245), ('929705660429885440', 249), ('903326629107290115', 250), ('814856074243215360', 254), ('833708282321702912', 261), ('699353568923418624', 842), ('801498511497838592', 7596), ('947868200116654080', 8775), ('946759348407091200', 8803), ('954151693930909697', 8811), ('945677576403595264', 8821), ('947278517556871168', 8828), ('897539840979415040', 8835), ('953691935029514240', 8863), ('791307537438081024', 8866), ('955496713644584960', 8867), ('951771598066876416', 8868), ('1210359233235034114', 8870), ('1210359233235034114', 8870), ('898309337097129985', 8873), ('946510192434405376', 8874), ('800448760899833856', 8876), ('804716702416015361', 8883), ('804716702416015361', 8883), ('954033871313661952', 8884), ('954033871313661952', 8884), ('1207306051021873152', 8886), ('953695105822679040', 8887), ('946596588113354752', 8888), ('946596588113354752', 8888), ('901267626659385344', 8889), ('871196734201896960', 8892), ('891342194141016066', 8896), ('800867089640734724', 8898), ('792526833455554560', 8905), ('801259032619155456', 8906), ('946830245365190659', 8907), ('692746190354407424', 8910), ('955348491559108608', 8911), ('905278157774827522', 8915), ('892218756918906880', 8921), ('954722091151994881', 8922), ('947166371951136769', 8923), ('949760483724333059', 8924), ('840940545971228673', 8926), ('952674182730584065', 8927), ('898571166616387584', 8930), ('948612417797451777', 8931), ('870324165240176640', 8933), ('899610036258746368', 8935), ('952738721928970241', 8936), ('890255434530996224', 8937), ('890255434530996224', 8937), ('947178530080686080', 8938), ('947461075620024321', 8940), ('953429258172592128', 8941), ('955144667728822272', 8944), ('800081280087883777', 8945), ('946097527870255106', 8946), ('948956225529462786', 8947), ('889988955218882561', 14537), ('868587085367791619', 14541), ('890307075473125376', 14560), ('912812394337927169', 14569), ('912798475800109056', 14578), ('864332955178553344', 14581), ('857726533464666113', 14630), ('912745955786665984', 14631), ('889293607957663744', 14632), ('896170526430949376', 14634), ('891748978651541504', 14635), ('884459646697840640', 14636), ('896936450108919808', 14637), ('898254285384818688', 14638), ('894417763963256832', 14640), ('961835923263578112', 14641), ('1018610644151652353', 14642), ('877984745342226432', 14643), ('969179546611343360', 14644), ('874806541601394688', 14645), ('874662818657730560', 14647), ('870754233305268224', 14649), ('923151816933761024', 14650), ('890562861197651968', 14652), ('893601684496297986', 14653), ('887092827557163009', 14654), ('926410978421440513', 14655), ('892999511987146752', 14656), ('863457315156094976', 14657), ('889937141375148032', 14658), ('868489906749808640', 14660), ('913889675714220032', 14661), ('893166150523269124', 14664), ('924958537549254656', 14665), ('858373072675647490', 14666), ('873279336018841600', 14667), ('956237724792623104', 14668), ('961291288321683456', 14669), ('882344350117769217', 14670), ('892580930480635904', 14671), ('884119147168374784', 14672), ('968181469800693763', 14673), ('878717209006272512', 14674), ('870407752010551296', 14675), ('960914726619316224', 14676), ('882048751900217345', 14677), ('889347078119452676', 14678), ('902992108373643267', 14679), ('888548595875622913', 14680), ('892513825215455232', 14681), ('868666556175220736', 14682), ('876623669451161604', 14683), ('888117603427733506', 14684), ('893171207931133952', 14685), ('958016987447296001', 14686), ('880801732921610240', 14688), ('690266685442359296', 80969), ('689093753265623040', 84906), ('694144481856106496', 84965)]
