20655301	0
1054339816182161408	1
1110662156	64158
18293720	3
2396910715	4
342460234	5
588589922	6
1687071	7
1311764197	8
22528795	9
165298304	5466
35606154	11
95123375	12
333769097	13
1304885082	14
797229459803926528	15
270921976	16
3177200475	17256
792701306804764672	18
1066147891390046209	19
2300505560	17898
63263764	21
166624682	19120
487600344	23
533469077	25
37220746	26
172947623	27
729736507251007493	28
45627569	12044
967789195	27826
1175865341865365504	31
2708757942	32
1216402281551290373	33
449600949	5463
24733117	35
836777281158795266	36
72252459	37
741747198107357184	38
1270039531635404803	39
890735683140276224	40
949472644449128448	41
1192087428946890753	42
1260039145315020801	43
1279509288457654272	44
18081837	45
65404941	46
732515283902943232	15195
4266237982	48
1600632452	49
2262460754	50
269850447	51
2917887331	52
285202104	53
3418703532	54
770957760573743108	55
3709412057	56
392450467	57
26600848	58
742185073756233732	60
702105503447572480	61
33446821	62
16703058	63
47106869	64
1024182912277573634	66
867472572664958976	67
1087449875728424961	68
53729253	69
14149284	70
879539283815653376	71
1010708700690911232	73
33923443	74
838866248406552579	75
16031694	76
240781165	77
1263556329232379905	79
2331074210	80
826878180980035584	81
293468474	83
932726816556515328	84
932110354527727617	86
1312605446	87
749640094613516288	88
416471934	89
1272347656396963844	90
845788208503795712	91
821427449074421766	92
2908394362	93
1270116233598447618	95
822093727476891648	96
77464797	97
16664791	98
24656767	100
24778144	101
494582291	102
468664002	103
419851595	104
1241222533300523009	105
121845853	106
769506179445817344	107
767065068794028034	108
1004022175	109
846871371678306305	110
1249850291530297344	111
2349017615	112
1154921757746368512	113
1227896034141114368	114
593013701	117
2875605345	118
957361855474864130	119
1243640695681765376	120
60457571	121
1225955169126506497	122
766326031259230212	123
3062079176	124
757249552168738816	125
4581378266	126
142488604	127
982748380202909696	128
1117864800921563136	129
29389033	130
350913291	131
1052614326501167109	132
1458834726	133
704136288656449537	134
1010589206807269386	135
3629589077	136
346935437	137
427953298	139
3079998946	140
17106884	141
114792117	142
1236269622745169920	143
3254663659	144
2750105810	145
1080913917176619008	146
2664239108	147
206086913	148
1284704691058860032	149
174992151	150
1065188322534932480	151
3373253291	152
797425350	153
27985363	154
3740303121	155
1425831522	156
974680668419567616	157
15881197	158
1110192643	159
233016516	160
16285681	161
338501282	162
724839385221468160	163
233319706	164
59402201	165
130954448	166
706595364	167
241010611	168
1253674375523512321	169
1257139938031796224	170
1024808951626354688	171
828325965935890434	172
1253925650815164416	173
818822954	174
18339751	175
820995507505893377	176
975498106736431104	177
20813532	178
875476546751823872	179
1212578228818153472	181
1942990032	185
1008908420	186
927525498770649088	187
38520799	188
1038816795036200964	189
1373739644	190
39605712	191
1444453716	192
1110876146894143488	193
27521283	194
